Sandakphu
{name:Darjeeling}
{name:Gairibus}
{name:Tumbling}
{name:Rimbik}
"{name:Sandakphu,altitude:12400 ft}"
{name:BhikeBhanja}
"{name:Sabargram,altitude:10000 ft}"
{name:Gurdum}
{name:Sirikhola}
{name:Rammam}
